"unique_key","created_date","closed_date","agency","agency_name","complaint_type","descriptor","location_type","incident_zip","incident_address","street_name","cross_street_1","cross_street_2","intersection_street_1","intersection_street_2","address_type","city","landmark","facility_type","status","due_date","resolution_description","resolution_action_updated_date","community_board","bbl","borough","x_coordinate_state_plane","y_coordinate_state_plane","open_data_channel_type","park_facility_name","park_borough","vehicle_type","taxi_company_borough","taxi_pick_up_location","bridge_highway_name","bridge_highway_direction","road_ramp","bridge_highway_segment","latitude","longitude","location",":@computed_region_efsh_h5xi",":@computed_region_f5dn_yrer",":@computed_region_yeji_bk3q",":@computed_region_92fq_4b7q",":@computed_region_sbqj_enih",":@computed_region_7mpf_4k6g"
"60612166","2024-03-17T14:05:42.000","2024-03-17T14:12:26.000","NYPD","New York City Police Department","Illegal Parking","Posted Parking Sign Violation","Street/Sidewalk","11375","62-36 GRAND CENTRAL PARKWAY","GRAND CENTRAL PARKWAY","62 AVENUE","62 DRIVE","62 AVENUE","62 DRIVE","ADDRESS","FOREST HILLS","GRAND CENTRAL PARKWAY SR WEST",,"Closed",,"The Police Department responded to the complaint and determined that police action was not necessary.","2024-03-17T14:12:28.000","06 QUEENS","4021620146","QUEENS","1026874","207944","MOBILE","Unspecified","QUEENS",,,,,,,,"40.73733217407734","-73.8461923820318","
,  
(40.73733217407734, -73.8461923820318)","14786","40","3","28","70","70"
"60610659","2024-03-17T14:05:51.000","2024-03-17T14:40:50.000","NYPD","New York City Police Department","Noise - Street/Sidewalk","Loud Music/Party","Street/Sidewalk","10025","240 WEST   98 STREET","WEST   98 STREET","BROADWAY","WEST END AVENUE","BROADWAY","WEST END AVENUE","ADDRESS","NEW YORK","WEST   98 STREET",,"Closed",,"The Police Department responded to the complaint and determined that police action was not necessary.","2024-03-17T14:40:54.000","07 MANHATTAN","1018697503","MANHATTAN","992236","229315","ONLINE","Unspecified","MANHATTAN",,,,,,,,"40.796089132480624","-73.97115730204911","
,  
(40.796089132480624, -73.97115730204911)","12422","20","4","19","15","15"
"60608776","2024-03-17T14:06:07.000","2024-03-17T14:35:34.000","NYPD","New York City Police Department","Noise - Residential","Loud Music/Party","Residential Building/House","11207","90 MILLER AVENUE","MILLER AVENUE","ARLINGTON AVENUE","FULTON STREET","ARLINGTON AVENUE","FULTON STREET","ADDRESS","BROOKLYN","MILLER AVENUE",,"Closed",,"The Police Department responded to the complaint and took action to fix the condition.","2024-03-17T14:35:38.000","05 BROOKLYN","3036640028","BROOKLYN","1013957","186705","MOBILE","Unspecified","BROOKLYN",,,,,,,,"40.67908900964059","-73.89289669736954","
,  
(40.67908900964059, -73.89289669736954)","17214","45","2","37","47","47"
"60606349","2024-03-17T14:06:20.000","2024-03-19T12:42:42.000","DOT","Department of Transportation","Street Condition","Defective Hardware","Street","11201","122 ASHLAND PLACE","ASHLAND PLACE","MYRTLE AVENUE","WILLOUGHBY STREET","MYRTLE AVENUE","WILLOUGHBY STREET","ADDRESS","BROOKLYN","ASHLAND PLACE",,"Closed",,"The Department of Transportation inspected the condition and issued a Corrective Action Repair (CAR) to the contractor or utility company. The responsible party has a maximum of 30 days to correct the condition. If the condition still exists, a summons will be issued. In some cases, the Department of Transportation will make the repairs and charge the responsible party for the costs.","2024-03-19T12:42:48.000","02 BROOKLYN","3020610040","BROOKLYN","990064","191560","ONLINE","Unspecified","BROOKLYN",,,,,,,,"40.69246281230813","-73.97903445808508","
,  
(40.69246281230813, -73.97903445808508)","16865","68","2","48","55","55"
"60612165","2024-03-17T14:06:35.000","2024-03-17T14:35:53.000","NYPD","New York City Police Department","Illegal Parking","Posted Parking Sign Violation","Street/Sidewalk","10468","2605 JEROME AVENUE","JEROME AVENUE","WEST  192 STREET","EAST  193 STREET","WEST  192 STREET","EAST  193 STREET","ADDRESS","BRONX","JEROME AVENUE",,"Closed",,"The Police Department issued a summons in response to the complaint.","2024-03-17T14:35:55.000","07 BRONX","2032020057","BRONX","1012315","254814","MOBILE","Unspecified","BRONX",,,,,,,,"40.86603556004148","-73.89853219364673","
,  
(40.86603556004148, -73.89853219364673)","11606","24","5","29","34","34"
"60612835","2024-03-17T14:06:39.000","2024-03-18T11:35:36.000","DSNY","Department of Sanitation","Dirty Condition","Trash","Sidewalk","11418","115-01 85 AVENUE","85 AVENUE","BABBAGE STREET","116 STREET","BABBAGE STREET","116 STREET","ADDRESS","RICHMOND HILL","85 AVENUE",,"Closed",,"The Department of Sanitation removed the items.","2024-03-18T11:35:39.000","09 QUEENS","4092150033","QUEENS","1029937","195089","MOBILE","Unspecified","QUEENS",,,,,,,,"40.702033064940586","-73.83522690494979","
,  
(40.702033064940586, -73.83522690494979)","24014","46","3","28","60","60"
"60611772","2024-03-17T14:06:48.000","2024-03-17T15:03:21.000","NYPD","New York City Police Department","Abandoned Vehicle","With License Plate","Street/Sidewalk","11234","1433 EAST   49 STREET","EAST   49 STREET","AVENUE J","AVENUE K","AVENUE J","AVENUE K","ADDRESS","BROOKLYN","EAST   49 STREET",,"Closed",,"The Police Department responded to the complaint and took action to fix the condition.","2024-03-17T15:03:24.000","18 BROOKLYN","3077970012","BROOKLYN","1004050","167475","PHONE","Unspecified","BROOKLYN","SUV",,,,,,,"40.626334574081405","-73.92867105784124","
,  
(40.626334574081405, -73.92867105784124)","13825","5","2","26","38","38"
"60607580","2024-03-17T14:06:49.000","2024-03-17T14:16:20.000","NYPD","New York City Police Department","Illegal Parking","Blocked Sidewalk","Street/Sidewalk","11436","130-13 INWOOD STREET","INWOOD STREET","130 AVENUE","133 AVENUE","130 AVENUE","133 AVENUE","ADDRESS","JAMAICA","INWOOD STREET",,"Closed",,"The Police Department responded to the complaint and determined that police action was not necessary.","2024-03-17T14:16:23.000","12 QUEENS","4120820049","QUEENS","1041567","183516","ONLINE","Unspecified","QUEENS",,,,,,,,"40.670200229221166","-73.79338115466587","
,  
(40.670200229221166, -73.79338115466587)","24671","41","3","46","71","71"
"60612866","2024-03-17T14:07:03.000","2024-03-17T14:55:22.000","NYPD","New York City Police Department","Illegal Parking","Blocked Crosswalk","Street/Sidewalk","10013","427 WASHINGTON STREET","WASHINGTON STREET","GREENWICH STREET","WASHINGTON STREET","GREENWICH STREET","WASHINGTON STREET","ADDRESS","NEW YORK","WASHINGTON STREET",,"Closed",,"The Police Department issued a summons in response to the complaint.","2024-03-17T14:55:25.000","01 MANHATTAN","1002230021","MANHATTAN","981396","202665","MOBILE","Unspecified","MANHATTAN",,,,,,,,"40.722944860944025","-74.01029635774121","
,  
(40.722944860944025, -74.01029635774121)","12076","56","4","32","1","1"
"60609509","2024-03-17T14:07:08.000","2024-03-17T16:44:08.000","NYPD","New York City Police Department","Blocked Driveway","No Access","Street/Sidewalk","11203","415 EAST   34 STREET","EAST   34 STREET","TILDEN AVENUE","BEVERLEY ROAD","TILDEN AVENUE","BEVERLEY ROAD","ADDRESS","BROOKLYN","EAST   34 STREET",,"Closed",,"The Police Department responded and upon arrival those responsible for the condition were gone.","2024-03-17T16:44:11.000","17 BROOKLYN","3049190056","BROOKLYN","999453","174827","MOBILE","Unspecified","BROOKLYN",,,,,,,,"40.64652332600804","-73.94521505141033","
,  
(40.64652332600804, -73.94521505141033)","16866","61","2","26","40","40"
"60606198","2024-03-17T14:07:16.000","2024-03-17T14:08:01.000","NYPD","New York City Police Department","Drug Activity","Use Outside","Street/Sidewalk","11366","159-06 UNION TURNPIKE","UNION TURNPIKE","159 STREET","160 STREET","159 STREET","160 STREET","ADDRESS","FRESH MEADOWS","UNION TURNPIKE",,"Closed",,"The Police Department responded to the complaint and took action to fix the condition.","2024-03-17T14:08:03.000","08 QUEENS","4068540028","QUEENS","1037538","201770","ONLINE","Unspecified","QUEENS",,,,,,,,"40.720328269590894","-73.80776061338688","
,  
(40.720328269590894, -73.80776061338688)","24340","25","3","24","65","65"
"60608536","2024-03-17T14:07:22.000","2024-03-17T14:13:56.000","NYPD","New York City Police Department","Illegal Parking","Posted Parking Sign Violation","Street/Sidewalk","10002","291 BROOME STREET","BROOME STREET","ELDRIDGE STREET","FORSYTH STREET","ELDRIDGE STREET","FORSYTH STREET","ADDRESS","NEW YORK","BROOME STREET",,"Closed",,"The Police Department reviewed your complaint and provided additional information below.","2024-03-17T14:13:58.000","03 MANHATTAN","1004180044","MANHATTAN","986501","201088","MOBILE","Unspecified","MANHATTAN",,,,,,,,"40.71861655027813","-73.9918796089386","
,  
(40.71861655027813, -73.9918796089386)","11723","70","4","32","2","2"
"60605955","2024-03-17T14:07:26.000","2024-03-17T14:39:07.000","NYPD","New York City Police Department","Noise - Residential","Loud Music/Party","Residential Building/House","11693","162 BEACH   96 STREET","BEACH   96 STREET","SHORE FRONT PARKWAY","ROCKAWAY BEACH BOULEVARD","SHORE FRONT PARKWAY","ROCKAWAY BEACH BOULEVARD","ADDRESS","FAR ROCKAWAY","BEACH   96 STREET",,"Closed",,"The Police Department responded to the complaint and took action to fix the condition.","2024-03-17T14:39:10.000","14 QUEENS","4161680025","QUEENS","1034957","152227","ONLINE","Unspecified","QUEENS",,,,,,,,"40.58435902508773","-73.81744416237427","
,  
(40.58435902508773, -73.81744416237427)","20531","51","3","41","58","58"
"60611712","2024-03-17T14:07:37.000","2024-04-02T17:21:38.000","HPD","Department of Housing Preservation and Development","UNSANITARY CONDITION","MOLD","RESIDENTIAL BUILDING","10454","331 EAST  132 STREET","EAST  132 STREET",,,,,"ADDRESS","BRONX",,,"Closed",,"The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.","2024-04-02T00:00:00.000","01 BRONX","2022957501","BRONX","1004290","232941","PHONE","Unspecified","BRONX",,,,,,,,"40.80602239216581","-73.92761157251907","
,  
(40.80602239216581, -73.92761157251907)","10932","49","5","35","23","23"
"60607121","2024-03-17T14:07:37.000","2024-04-02T17:21:38.000","HPD","Department of Housing Preservation and Development","WATER LEAK","HEAVY FLOW","RESIDENTIAL BUILDING","10454","331 EAST  132 STREET","EAST  132 STREET",,,,,"ADDRESS","BRONX",,,"Closed",,"The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.","2024-04-02T00:00:00.000","01 BRONX","2022957501","BRONX","1004290","232941","PHONE","Unspecified","BRONX",,,,,,,,"40.80602239216581","-73.92761157251907","
,  
(40.80602239216581, -73.92761157251907)","10932","49","5","35","23","23"
"60612828","2024-03-17T14:07:39.000","2024-03-17T14:31:57.000","DHS","Department of Homeless Services","Homeless Person Assistance",,"Store/Commercial","11201","84 FRONT STREET","FRONT STREET","WASHINGTON STREET","ADAMS STREET","WASHINGTON STREET","ADAMS STREET","ADDRESS","BROOKLYN","FRONT STREET",,"Closed",,"Based on the information you provided, the Department of Homeless Services has referred this request to the New York City Police Department.","2024-03-17T14:31:57.000","02 BROOKLYN","3000517501","BROOKLYN","987221","195218","MOBILE","Unspecified","BROOKLYN",,,,,,,,"40.702504581706826","-73.98928482849821","
,  
(40.702504581706826, -73.98928482849821)","16865","68","2","38","54","54"
"60607347","2024-03-17T14:07:39.000","2024-03-17T14:24:55.000","NYPD","New York City Police Department","Encampment","N/A","Store/Commercial","11201","84 FRONT STREET","FRONT STREET","WASHINGTON STREET","ADAMS STREET","WASHINGTON STREET","ADAMS STREET","ADDRESS","BROOKLYN","FRONT STREET",,"Closed",,"The Police Department visited the location and has referred the complaint to the Department of Homeless Services (DHS) for further action. DHS will inspect the condition and update your Service Request with more information.","2024-03-17T14:24:58.000","02 BROOKLYN","3000517501","BROOKLYN","987221","195218","MOBILE","Unspecified","BROOKLYN",,,,,,,,"40.702504581706826","-73.98928482849821","
,  
(40.702504581706826, -73.98928482849821)","16865","68","2","38","54","54"
"60610851","2024-03-17T14:07:43.000","2024-03-17T14:08:47.000","NYPD","New York City Police Department","Drug Activity","Use Outside","Street/Sidewalk","11432","82-68 164 STREET","164 STREET","82 ROAD","GRAND CENTRAL PARKWAY","82 ROAD","GRAND CENTRAL PARKWAY","ADDRESS","JAMAICA","164 STREET",,"Closed",,"The Police Department responded to the complaint and took action to fix the condition.","2024-03-17T14:08:51.000","08 QUEENS","4068580001","QUEENS","1038740","200651","ONLINE","Unspecified","QUEENS",,,,,,,,"40.71724956934783","-73.80343340538089","
,  
(40.71724956934783, -73.80343340538089)","24340","25","3","24","65","65"
"60612616","2024-03-17T14:07:48.000","2024-03-17T14:08:29.000","NYPD","New York City Police Department","Drug Activity","Use Outside","Street/Sidewalk","11365","71-01 PARSONS BOULEVARD","PARSONS BOULEVARD","71 AVENUE","72 AVENUE","71 AVENUE","72 AVENUE","ADDRESS","FRESH MEADOWS","PARSONS BOULEVARD",,"Closed",,"The Police Department responded to the complaint and took action to fix the condition.","2024-03-17T14:08:32.000","08 QUEENS","4067970040","QUEENS","1036658","205328","ONLINE","Unspecified","QUEENS",,,,,,,,"40.73009934988612","-73.81090754397326","
,  
(40.73009934988612, -73.81090754397326)","14507","25","3","24","65","65"
"60608514","2024-03-17T14:07:53.000","2024-03-17T14:49:24.000","NYPD","New York City Police Department","Illegal Parking","Double Parked Blocking Traffic","Street/Sidewalk","11201","164 CADMAN PLAZA WEST","CADMAN PLAZA WEST","MIDDAGH STREET","PINEAPPLE WALK","MIDDAGH STREET","PINEAPPLE WALK","ADDRESS","BROOKLYN","CADMAN PLAZA WEST",,"Closed",,"The Police Department responded and upon arrival those responsible for the condition were gone.","2024-03-17T14:49:27.000","02 BROOKLYN",,"BROOKLYN","986703","194158","MOBILE","Unspecified","BROOKLYN","Car",,,,,,,"40.699595288562435","-73.99115342690469","
,  
(40.699595288562435, -73.99115342690469)","16865","68","2","38","54","54"
"60609466","2024-03-17T14:07:55.000","2025-01-24T00:00:00.000","DOB","Department of Buildings","General Construction/Plumbing","Building - Vacant, Open And Unguarded",,"11212","628 ROCKAWAY AVENUE","ROCKAWAY AVENUE",,,,,"ADDRESS","BROOKLYN",,,"Closed",,"The Department of Buildings investigated this complaint and determined that no further action was necessary.","2025-01-24T00:00:00.000","16 BROOKLYN","3035600041","BROOKLYN","1009363","181469","UNKNOWN","Unspecified","BROOKLYN",,,,,,,,"40.66473159605916","-73.90947904160222","
,  
(40.66473159605916, -73.90947904160222)","17614","55","2","17","46","46"
"60611527","2024-03-17T14:07:56.000","2024-03-17T14:35:19.000","NYPD","New York City Police Department","Noise - Residential","Loud Music/Party","Residential Building/House","11207","90 MILLER AVENUE","MILLER AVENUE","ARLINGTON AVENUE","FULTON STREET","ARLINGTON AVENUE","FULTON STREET","ADDRESS","BROOKLYN","MILLER AVENUE",,"Closed",,"The Police Department responded to the complaint and took action to fix the condition.","2024-03-17T14:35:23.000","05 BROOKLYN","3036640028","BROOKLYN","1013957","186705","MOBILE","Unspecified","BROOKLYN",,,,,,,,"40.67908900964059","-73.89289669736954","
,  
(40.67908900964059, -73.89289669736954)","17214","45","2","37","47","47"
"60608752","2024-03-17T14:08:10.000","2024-03-17T16:29:04.000","NYPD","New York City Police Department","Noise - Residential","Loud Music/Party","Residential Building/House","10462","2179 MATTHEWS AVENUE","MATTHEWS AVENUE","LYDIG AVENUE","PELHAM PARKWAY SOUTH","LYDIG AVENUE","PELHAM PARKWAY SOUTH","ADDRESS","BRONX","MATTHEWS AVENUE",,"Closed",,"The Police Department responded to the complaint and determined that police action was not necessary.","2024-03-17T16:29:07.000","11 BRONX","2043220043","BRONX","1022178","251165","ONLINE","Unspecified","BRONX",,,,,,,,"40.85598329878383","-73.86289363917999","
,  
(40.85598329878383, -73.86289363917999)","11271","59","5","12","32","32"
"60609786","2024-03-17T14:08:15.000","2024-03-17T14:46:58.000","NYPD","New York City Police Department","Noise - Vehicle","Car/Truck Music","Street/Sidewalk","10039","68 BRADHURST AVENUE","BRADHURST AVENUE","WEST  145 STREET","WEST  146 STREET","WEST  145 STREET","WEST  146 STREET","ADDRESS","NEW YORK","BRADHURST AVENUE",,"Closed",,"The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.","2024-03-17T14:47:01.000","10 MANHATTAN","1020457501","MANHATTAN","1000125","239346","ONLINE","Unspecified","MANHATTAN","SUV",,,,,,,"40.82361078775194","-73.94264121851711","
,  
(40.82361078775194, -73.94264121851711)","13097","18","4","36","20","20"
"60611031","2024-03-17T14:08:26.000",,"DHS","Department of Homeless Services","Homeless Person Assistance",,"Street/Sidewalk","10036","500 WEST   43 STREET","WEST   43 STREET","10 AVENUE","AMTRAK-NORTHEAST LINE","10 AVENUE","AMTRAK-NORTHEAST LINE","ADDRESS","NEW YORK","WEST   43 STREET",,"Closed",,"The mobile outreach response team went to the location provided but could not find the individual that you reported.","2024-03-17T15:47:45.000","04 MANHATTAN","1010717501","MANHATTAN","985614","216286","PHONE","Unspecified","MANHATTAN",,,,,,,,"40.7603314680539","-73.99507634373488","
,  
(40.7603314680539, -73.99507634373488)","13094","12","4","10","6","6"
"60611279","2024-03-17T14:08:33.000","2024-03-17T15:08:04.000","NYPD","New York City Police Department","Traffic","Congestion/Gridlock","Street/Sidewalk","11218","DITMAS AVENUE","DITMAS AVENUE","DITMAS AVENUE","OCEAN PARKWAY","DITMAS AVENUE","OCEAN PARKWAY","INTERSECTION",,,,"Closed",,"The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.","2024-03-17T15:08:08.000","12 BROOKLYN",,"BROOKLYN","991817","171038","PHONE","Unspecified","BROOKLYN",,,,,,,,"40.6361331503863","-73.9727360955703","
,  
(40.6361331503863, -73.9727360955703)","17620","2","2","27","39","39"
"60606272","2024-03-17T14:08:40.000","2024-04-19T10:35:21.000","DOHMH","Department of Health and Mental Hygiene","Rodent","Rat Sighting","Other (Explain Below)","11206","120 JEFFERSON STREET","JEFFERSON STREET","EVERGREEN AVENUE","CENTRAL AVENUE","EVERGREEN AVENUE","CENTRAL AVENUE","ADDRESS","BROOKLYN","JEFFERSON STREET",,"Closed",,"This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.","2024-03-17T14:08:40.000","04 BROOKLYN","3031720012","BROOKLYN","1003475","194245","MOBILE","Unspecified","BROOKLYN",,,,,,,,"40.69981354004059","-73.93066614675723","
,  
(40.69981354004059, -73.93066614675723)","17213","42","2","30","53","53"
"60611957","2024-03-17T14:09:01.000","2024-03-20T14:58:26.000","DSNY","Department of Sanitation","Missed Collection","Recycling - Paper/Metal/Glass/Rigid Plastic","Street","11211","108 DIVISION AVENUE","DIVISION AVENUE","BEDFORD AVENUE","DRIGGS AVENUE","BEDFORD AVENUE","DRIGGS AVENUE","ADDRESS","BROOKLYN","DIVISION AVENUE",,"Closed",,"The Department of Sanitation investigated this complaint and found no condition at the location.","2024-03-18T23:30:46.000","01 BROOKLYN","3021690021","BROOKLYN","994316","197094","ONLINE","Unspecified","BROOKLYN",,,,,,,,"40.707648533017924","-73.96369328768074","
,  
(40.707648533017924, -73.96369328768074)","17613","36","2","38","56","56"
"60605838","2024-03-17T14:09:07.000","2024-03-17T14:41:42.000","NYPD","New York City Police Department","Drinking","In Public","Street/Sidewalk","10025","240 WEST   98 STREET","WEST   98 STREET","BROADWAY","WEST END AVENUE","BROADWAY","WEST END AVENUE","ADDRESS","NEW YORK","WEST   98 STREET",,"Closed",,"The Police Department responded to the complaint and determined that police action was not necessary.","2024-03-17T14:41:44.000","07 MANHATTAN","1018697503","MANHATTAN","992236","229315","ONLINE","Unspecified","MANHATTAN",,,,,,,,"40.796089132480624","-73.97115730204911","
,  
(40.796089132480624, -73.97115730204911)","12422","20","4","19","15","15"
"60612246","2024-03-17T14:09:17.000","2024-03-17T14:34:50.000","NYPD","New York City Police Department","Blocked Driveway","Partial Access","Street/Sidewalk","11416","86-03 ROCKAWAY BOULEVARD","ROCKAWAY BOULEVARD","86 STREET","87 STREET","86 STREET","87 STREET","ADDRESS","OZONE PARK","ROCKAWAY BOULEVARD",,"Closed",,"The Police Department issued a summons in response to the complaint.","2024-03-17T14:34:58.000","09 QUEENS","4090580024","QUEENS","1024753","188163","PHONE","Unspecified","QUEENS",,,,,,,,"40.68304806830584","-73.85396493953739","
,  
(40.68304806830584, -73.85396493953739)","24012","46","3","41","60","60"
"60611714","2024-03-17T14:09:22.000","2024-03-29T06:25:56.000","HPD","Department of Housing Preservation and Development","UNSANITARY CONDITION","PESTS","RESIDENTIAL BUILDING","11236","1384 REMSEN AVENUE","REMSEN AVENUE",,,,,"ADDRESS","BROOKLYN",,,"Closed",,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.","2024-03-29T00:00:00.000","18 BROOKLYN","3080550046","BROOKLYN","1011440","171251","PHONE","Unspecified","BROOKLYN",,,,,,,,"40.636679289710344","-73.90203359707328","
,  
(40.636679289710344, -73.90203359707328)","13827","5","2","8","42","42"
"60610798","2024-03-17T14:09:22.000","2024-06-01T18:04:29.000","HPD","Department of Housing Preservation and Development","PAINT/PLASTER","CEILING","RESIDENTIAL BUILDING","11236","1384 REMSEN AVENUE","REMSEN AVENUE",,,,,"ADDRESS","BROOKLYN",,,"Closed",,"The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.","2024-06-01T00:00:00.000","18 BROOKLYN","3080550046","BROOKLYN","1011440","171251","PHONE","Unspecified","BROOKLYN",,,,,,,,"40.636679289710344","-73.90203359707328","
,  
(40.636679289710344, -73.90203359707328)","13827","5","2","8","42","42"
"60609829","2024-03-17T14:09:22.000","2024-03-18T20:50:40.000","HPD","Department of Housing Preservation and Development","HEAT/HOT WATER","APARTMENT ONLY","RESIDENTIAL BUILDING","11236","1384 REMSEN AVENUE","REMSEN AVENUE",,,,,"ADDRESS","BROOKLYN",,,"Closed",,"The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. The complaint has been closed. If the condition still exists, please file a new complaint.","2024-03-18T00:00:00.000","18 BROOKLYN","3080550046","BROOKLYN","1011440","171251","PHONE","Unspecified","BROOKLYN",,,,,,,,"40.636679289710344","-73.90203359707328","
,  
(40.636679289710344, -73.90203359707328)","13827","5","2","8","42","42"
"60610804","2024-03-17T14:09:22.000","2024-03-29T06:25:56.000","HPD","Department of Housing Preservation and Development","PLUMBING","BASIN/SINK","RESIDENTIAL BUILDING","11236","1384 REMSEN AVENUE","REMSEN AVENUE",,,,,"ADDRESS","BROOKLYN",,,"Closed",,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.","2024-03-29T00:00:00.000","18 BROOKLYN","3080550046","BROOKLYN","1011440","171251","PHONE","Unspecified","BROOKLYN",,,,,,,,"40.636679289710344","-73.90203359707328","
,  
(40.636679289710344, -73.90203359707328)","13827","5","2","8","42","42"
"60612119","2024-03-17T14:09:24.000","2024-03-17T14:16:06.000","NYPD","New York City Police Department","Illegal Parking","Blocked Sidewalk","Street/Sidewalk","11436","130-13 INWOOD STREET","INWOOD STREET","130 AVENUE","133 AVENUE","130 AVENUE","133 AVENUE","ADDRESS","JAMAICA","INWOOD STREET",,"Closed",,"The Police Department responded to the complaint and determined that police action was not necessary.","2024-03-17T14:16:08.000","12 QUEENS","4120820049","QUEENS","1041567","183516","ONLINE","Unspecified","QUEENS",,,,,,,,"40.670200229221166","-73.79338115466587","
,  
(40.670200229221166, -73.79338115466587)","24671","41","3","46","71","71"
"60608743","2024-03-17T14:09:28.000","2024-03-17T14:34:51.000","NYPD","New York City Police Department","Noise - Residential","Loud Music/Party","Residential Building/House","10032","2153 AMSTERDAM AVENUE","AMSTERDAM AVENUE","WEST  166 STREET","WEST  167 STREET","WEST  166 STREET","WEST  167 STREET","ADDRESS","NEW YORK","AMSTERDAM AVENUE",,"Closed",,"The Police Department responded to the complaint but officers were unable to gain entry into the premises.","2024-03-17T14:34:58.000","12 MANHATTAN","1021110084","MANHATTAN","1001524","244936","ONLINE","Unspecified","MANHATTAN",,,,,,,,"40.83895110386585","-73.93757202691035","
,  
(40.83895110386585, -73.93757202691035)","13090","47","4","39","21","21"
"60610452","2024-03-17T14:09:32.000","2024-03-17T14:09:32.000","DOT","Department of Transportation","Street Condition","Pothole",,"10312",,,,,"RICHMOND AVENUE","SYCAMORE STREET","INTERSECTION","STATEN ISLAND",,"N/A","Closed",,"The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.","2024-03-17T14:09:32.000","03 STATEN ISLAND",,"STATEN ISLAND","939494","136017","UNKNOWN","Unspecified","STATEN ISLAND",,,,,,,,"40.53989782439589","-74.16102376287792","
,  
(40.53989782439589, -74.16102376287792)","10699","15","1","9","76","76"
"60607822","2024-03-17T14:09:53.000","2024-03-17T14:25:51.000","NYPD","New York City Police Department","Noise - Residential","Banging/Pounding","Residential Building/House","11358","46-57 160 STREET","160 STREET","46 AVENUE","LABURNUM AVENUE","46 AVENUE","LABURNUM AVENUE","ADDRESS","FLUSHING","160 STREET",,"Closed",,"The Police Department responded to the complaint and took action to fix the condition.","2024-03-17T14:25:54.000","07 QUEENS","4054590004","QUEENS","1037739","213464","MOBILE","Unspecified","QUEENS",,,,,,,,"40.752424119438764","-73.80694252103265","
,  
(40.752424119438764, -73.80694252103265)","14193","22","3","3","67","67"
"60611263","2024-03-17T14:10:12.000","2024-03-17T14:45:36.000","NYPD","New York City Police Department","Illegal Parking","Posted Parking Sign Violation","Street/Sidewalk","11369","95-03 23 AVENUE","23 AVENUE","95 STREET","96 STREET","95 STREET","96 STREET","ADDRESS","EAST ELMHURST","23 AVENUE",,"Closed",,"The Police Department responded to the complaint and took action to fix the condition.","2024-03-17T14:45:39.000","03 QUEENS","4010720041","QUEENS","1018861","219199","ONLINE","Unspecified","QUEENS",,,,,,,,"40.76825925264185","-73.87504911271814","
,  
(40.76825925264185, -73.87504911271814)","14511","65","3","21","73","73"
"60606282","2024-03-17T14:10:40.000",,"TLC","Taxi and Limousine Commission","For Hire Vehicle Report","Driver Report - Passenger",,"10017","5 TUDOR CITY PLACE","TUDOR CITY PLACE","DEAD END","EAST   41 STREET","DEAD END","EAST   41 STREET","ADDRESS","NEW YORK","TUDOR CITY PLACE",,"In Progress",,,,"06 MANHATTAN","1013330023","MANHATTAN","992234","211814","PHONE","Unspecified","MANHATTAN",,,"5 TUDOR CITY PLACE, MANHATTAN (NEW YORK), NY, 10017",,,,,"40.748053464825695","-73.97118531720243","
,  
(40.748053464825695, -73.97118531720243)","12079","71","4","51","9","9"
"60611635","2024-03-17T14:10:45.000","2024-03-17T14:24:42.000","NYPD","New York City Police Department","Non-Emergency Police Matter","Other (complaint details)","Street/Sidewalk","10019","400 WEST   55 STREET","WEST   55 STREET","9 AVENUE","10 AVENUE","9 AVENUE","10 AVENUE","ADDRESS","NEW YORK","WEST   55 STREET",,"Closed",,"The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.","2024-03-17T14:24:47.000","04 MANHATTAN","1010640036","MANHATTAN","987825","218639","ONLINE","Unspecified","MANHATTAN",,,,,,,,"40.76678922896015","-73.98709400443575","
,  
(40.76678922896015, -73.98709400443575)","12081","12","4","10","10","10"
"60606687","2024-03-17T14:10:55.000","2024-04-11T00:00:00.000","DOB","Department of Buildings","Plumbing","Plumbing-Defective/Leaking/Not Maintained",,"11237","321 STARR STREET","STARR STREET",,,,,"ADDRESS","BROOKLYN",,,"Closed",,"The Department of Buildings investigated this complaint and determined that no further action was necessary.","2024-04-11T00:00:00.000","04 BROOKLYN","3031900037","BROOKLYN","1006292","197136","UNKNOWN","Unspecified","BROOKLYN",,,,,,,,"40.707742084051795","-73.92049734124731","
,  
(40.707742084051795, -73.92049734124731)","13828","42","2","30","53","53"
